Number of routes:    		5
Number of unassigned:		4

X_coor		Y_coor		Arr		Accepted
	42 				15 			0		 1
	42 				12 			7		 1
	90 				35 			19		 1
	40 				60 			21		 1
	24 				58 			50		 1
	57 				29 			52		 1
	55 				60 			54		 1
	22 				85 			67		 1
	35 				5 			71		 1
	57 				29 			80		 1
	55 				82 			85		 1
	55 				80 			94		 1
	65 				35 			116		 1
	38 				5 			121		 1
	37 				31 			134		 1
	72 				35 			161		 1
	26 				35 			162		 1
	42 				10 			177		 1
	18 				80 			185		 1
	57 				29 			187		 1
	35 				40 			193		 1
	60 				85 			235		 1
	12 				24 			258		 1
	49 				42 			259		 1
	55 				54 			260		 1
	67 				85 			271		 1
	55 				85 			275		 1
	72 				35 			280		 1
	27 				43 			298		 1
	40 				5 			300		 1
	20 				80 			318		 1
	15 				80 			320		 1
	20 				85 			337		 1
	10 				35 			345		 1
	27 				43 			352		 1
	10 				40 			353		 1
	15 				10 			359		 1
	10 				35 			364		 1
	0 				40 			368		 1
	20 				80 			380		 1
	55 				54 			396		 1
	2 				45 			449		 1
	2 				60 			462		 1
	38 				15 			474		 1
	40 				50 			261		 0
	85 				35 			261		 0
	40 				50 			451		 0
	88 				30 			451		 0
