Number of routes:    		5
Number of unassigned:		10

X_coor		Y_coor		Arr		Accepted
	45 				30 			13		 1
	55 				82 			31		 1
	18 				80 			32		 1
	15 				75 			46		 1
	25 				85 			55		 1
	42 				5 			62		 1
	42 				15 			69		 1
	55 				82 			71		 1
	15 				60 			84		 1
	5 				35 			96		 1
	65 				85 			99		 1
	61 				52 			99		 1
	8 				56 			100		 1
	64 				42 			149		 1
	58 				75 			177		 1
	42 				15 			180		 1
	55 				60 			196		 1
	85 				25 			200		 1
	67 				5 			211		 1
	88 				35 			223		 1
	37 				31 			231		 1
	45 				65 			250		 1
	45 				30 			257		 1
	2 				60 			268		 1
	26 				35 			281		 1
	31 				67 			287		 1
	40 				15 			288		 1
	8 				40 			298		 1
	20 				50 			305		 1
	65 				82 			306		 1
	47 				47 			314		 1
	27 				43 			321		 1
	31 				52 			327		 1
	72 				35 			334		 1
	2 				45 			353		 1
	67 				85 			354		 1
	30 				60 			365		 1
	42 				5 			383		 1
	60 				80 			389		 1
	85 				25 			410		 1
	23 				3 			427		 1
	53 				43 			446		 1
	2 				45 			453		 1
	20 				20 			458		 1
	55 				60 			466		 1
	40 				50 			479		 0
	58 				75 			479		 0
	40 				50 			373		 0
	95 				35 			373		 0
	40 				50 			282		 0
	92 				30 			282		 0
	40 				50 			361		 0
	67 				5 			361		 0
	40 				50 			454		 0
	67 				85 			454		 0
