Number of routes:    		5
Number of unassigned:		12

X_coor		Y_coor		Arr		Accepted
	57 				48 			2		 1
	55 				85 			4		 1
	2 				40 			14		 1
	44 				5 			21		 1
	60 				80 			21		 1
	2 				45 			43		 1
	58 				75 			45		 1
	64 				42 			53		 1
	65 				20 			80		 1
	60 				12 			95		 1
	26 				35 			111		 1
	26 				52 			113		 1
	2 				45 			121		 1
	10 				35 			130		 1
	35 				69 			130		 1
	15 				60 			137		 1
	88 				35 			146		 1
	57 				29 			152		 1
	65 				35 			158		 1
	20 				82 			158		 1
	41 				37 			189		 1
	26 				52 			197		 1
	56 				37 			243		 1
	64 				42 			253		 1
	21 				24 			270		 1
	2 				45 			270		 1
	65 				20 			270		 1
	40 				5 			277		 1
	42 				12 			286		 1
	35 				40 			288		 1
	60 				12 			297		 1
	65 				35 			313		 1
	30 				25 			314		 1
	35 				40 			315		 1
	56 				37 			316		 1
	63 				23 			337		 1
	55 				85 			340		 1
	8 				56 			341		 1
	67 				5 			344		 1
	67 				85 			351		 1
	6 				68 			352		 1
	26 				52 			353		 1
	25 				30 			363		 1
	31 				67 			370		 1
	55 				82 			371		 1
	8 				40 			396		 1
	35 				40 			420		 1
	10 				40 			432		 1
	63 				65 			434		 1
	65 				82 			450		 1
	55 				82 			454		 1
	47 				47 			462		 1
	49 				42 			474		 1
	40 				50 			134		 0
	92 				30 			134		 0
	40 				50 			288		 0
	65 				85 			288		 0
	40 				50 			388		 0
	15 				75 			388		 0
	40 				50 			363		 0
	95 				30 			363		 0
	40 				50 			13		 0
	6 				68 			13		 0
	40 				50 			340		 0
	25 				85 			340		 0
